level,dimensions,kg,representation,prompt_type,temperature_label,num_bridges,n_records,Exact_Match_Rate,Partial_Match_Rate,Complete_Mismatch_Rate,Avg_Precision (Successful Retrieval),Avg_Recall (Target Hit Rate),Avg_F1_Score
kg__representation,kg|representation,"core_scholar_rich, gmo, kwg",axiom,,,,20,0.8,0.2,0.0,1.0,0.9167,0.945
kg__representation,kg|representation,"core_scholar_rich, currkg, gmo",axiom,,,,20,0.7,0.3,0.0,1.0,0.8833,0.925
kg__representation,kg|representation,"core_scholar_rich, enslaved, kwg",axiom,,,,20,0.85,0.15,0.0,1.0,0.95,0.97
kg__representation,kg|representation,"core_scholar_rich, gmo, kwg",nen,,,,20,0.75,0.25,0.0,1.0,0.9167,0.95
kg__representation,kg|representation,"core_scholar_rich, enslaved",ttl,,,,18,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation,kg|representation,"core_scholar_rich, enslaved, kwg",nen,,,,20,0.7,0.2,0.1,0.8833,0.8167,0.8383
kg__representation,kg|representation,"currkg, kwg",nen,,,,18,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation,kg|representation,"gmo, kwg",nen,,,,18,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation,kg|representation,"core_scholar_rich, currkg, enslaved",ttl,,,,20,0.6,0.4,0.0,1.0,0.8667,0.92
kg__representation,kg|representation,"core_scholar_rich, currkg, gmo",ttl,,,,20,0.65,0.35,0.0,0.9875,0.9,0.9329
kg__representation,kg|representation,"core_scholar_rich, enslaved",axiom,,,,18,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation,kg|representation,"core_scholar_rich, currkg, kwg",ttl,,,,20,0.55,0.45,0.0,1.0,0.8333,0.895
kg__representation,kg|representation,"core_scholar_rich, currkg, kwg",axiom,,,,20,0.6,0.4,0.0,1.0,0.85,0.905
kg__representation,kg|representation,"enslaved, kwg",nen,,,,18,0.9444,0.0,0.0556,0.9444,0.9444,0.9444
kg__representation,kg|representation,"core_scholar_rich, currkg",nen,,,,18,0.8889,0.1111,0.0,1.0,0.9444,0.963
kg__representation,kg|representation,"core_scholar_rich, currkg",ttl,,,,18,0.9444,0.0556,0.0,1.0,0.9722,0.9815
kg__representation,kg|representation,"gmo, kwg",ttl,,,,18,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation,kg|representation,"currkg, gmo",nen,,,,18,0.8889,0.1111,0.0,1.0,0.9444,0.963
kg__representation,kg|representation,"enslaved, kwg",ttl,,,,18,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation,kg|representation,"currkg, enslaved",ttl,,,,18,0.9444,0.0556,0.0,1.0,0.9722,0.9815
kg__representation,kg|representation,"core_scholar_rich, gmo",nen,,,,18,0.9444,0.0556,0.0,1.0,0.9722,0.9815
kg__representation,kg|representation,"core_scholar_rich, gmo, kwg",ttl,,,,20,0.75,0.25,0.0,1.0,0.9167,0.95
kg__representation,kg|representation,"enslaved, kwg",axiom,,,,18,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation,kg|representation,"currkg, kwg",axiom,,,,18,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation,kg|representation,"core_scholar_rich, enslaved, kwg",ttl,,,,20,0.7,0.3,0.0,1.0,0.9,0.94
kg__prompt_type,kg|prompt_type,"gmo, kwg",,0_shot,,,27,1.0,0.0,0.0,1.0,1.0,1.0
kg__prompt_type,kg|prompt_type,"currkg, gmo",,0_shot,,,27,0.7407,0.2593,0.0,1.0,0.8704,0.9136
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg, kwg",,0_shot,,,30,0.3,0.7,0.0,1.0,0.7445,0.84
kg__prompt_type,kg|prompt_type,"core_scholar_rich, enslaved",,cot,,,27,1.0,0.0,0.0,1.0,1.0,1.0
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg, enslaved",,0_shot,,,30,0.2667,0.7333,0.0,1.0,0.7556,0.8533
kg__prompt_type,kg|prompt_type,"currkg, enslaved",,0_shot,,,27,0.963,0.037,0.0,0.9877,1.0,0.9926
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg, gmo",,cot,,,30,0.9333,0.0333,0.0333,0.9667,0.9556,0.96
kg__prompt_type,kg|prompt_type,"currkg, gmo",,cot,,,27,0.963,0.037,0.0,1.0,0.9815,0.9877
kg__prompt_type,kg|prompt_type,"core_scholar_rich, gmo",,cot,,,27,1.0,0.0,0.0,1.0,1.0,1.0
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg",,cot,,,27,1.0,0.0,0.0,1.0,1.0,1.0
kg__prompt_type,kg|prompt_type,"currkg, kwg",,0_shot,,,27,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__prompt_type,kg|prompt_type,"core_scholar_rich, gmo, kwg",,0_shot,,,30,0.5667,0.4333,0.0,1.0,0.8445,0.9033
kg__prompt_type,kg|prompt_type,"core_scholar_rich, enslaved, kwg",,0_shot,,,30,0.5,0.4333,0.0667,0.9222,0.7778,0.8322
kg__prompt_type,kg|prompt_type,"core_scholar_rich, enslaved",,0_shot,,,27,0.963,0.037,0.0,0.9815,0.9815,0.9815
kg__prompt_type,kg|prompt_type,"core_scholar_rich, enslaved, kwg",,cot,,,30,1.0,0.0,0.0,1.0,1.0,1.0
kg__prompt_type,kg|prompt_type,"currkg, kwg",,cot,,,27,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__prompt_type,kg|prompt_type,"gmo, kwg",,cot,,,27,1.0,0.0,0.0,1.0,1.0,1.0
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg, gmo",,0_shot,,,30,0.3667,0.6333,0.0,0.9917,0.7667,0.8452
kg__prompt_type,kg|prompt_type,"core_scholar_rich, gmo, kwg",,cot,,,30,0.9667,0.0333,0.0,1.0,0.9889,0.9933
kg__prompt_type,kg|prompt_type,"core_scholar_rich, gmo",,0_shot,,,27,0.963,0.037,0.0,1.0,0.9815,0.9877
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg, kwg",,cot,,,30,0.9,0.1,0.0,1.0,0.9667,0.98
kg__prompt_type,kg|prompt_type,"enslaved, kwg",,0_shot,,,27,0.963,0.0,0.037,0.963,0.963,0.963
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg",,0_shot,,,27,0.8519,0.1481,0.0,1.0,0.9259,0.9506
kg__prompt_type,kg|prompt_type,"enslaved, kwg",,cot,,,27,1.0,0.0,0.0,1.0,1.0,1.0
kg__prompt_type,kg|prompt_type,"currkg, enslaved",,cot,,,27,0.9259,0.0741,0.0,0.9877,0.9815,0.9802
kg__prompt_type,kg|prompt_type,"core_scholar_rich, currkg, enslaved",,cot,,,30,0.9667,0.0333,0.0,1.0,0.9889,0.9933
kg__temperature_label,kg|temperature_label,"gmo, kwg",,,temp0.0,,54,1.0,0.0,0.0,1.0,1.0,1.0
kg__temperature_label,kg|temperature_label,"currkg, gmo",,,temp0.0,,54,0.8519,0.1481,0.0,1.0,0.9259,0.9506
kg__temperature_label,kg|temperature_label,"core_scholar_rich, currkg, kwg",,,temp0.0,,60,0.6,0.4,0.0,1.0,0.8556,0.91
kg__temperature_label,kg|temperature_label,"core_scholar_rich, enslaved",,,temp0.0,,54,0.9815,0.0185,0.0,0.9907,0.9907,0.9907
kg__temperature_label,kg|temperature_label,"core_scholar_rich, currkg, enslaved",,,temp0.0,,60,0.6167,0.3833,0.0,1.0,0.8722,0.9233
kg__temperature_label,kg|temperature_label,"currkg, enslaved",,,temp0.0,,54,0.9444,0.0556,0.0,0.9877,0.9907,0.9864
kg__temperature_label,kg|temperature_label,"core_scholar_rich, currkg, gmo",,,temp0.0,,60,0.65,0.3333,0.0167,0.9792,0.8611,0.9026
kg__temperature_label,kg|temperature_label,"core_scholar_rich, gmo",,,temp0.0,,54,0.9815,0.0185,0.0,1.0,0.9907,0.9938
kg__temperature_label,kg|temperature_label,"core_scholar_rich, currkg",,,temp0.0,,54,0.9259,0.0741,0.0,1.0,0.963,0.9753
kg__temperature_label,kg|temperature_label,"currkg, kwg",,,temp0.0,,54,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__temperature_label,kg|temperature_label,"core_scholar_rich, gmo, kwg",,,temp0.0,,60,0.7667,0.2333,0.0,1.0,0.9167,0.9483
kg__temperature_label,kg|temperature_label,"core_scholar_rich, enslaved, kwg",,,temp0.0,,60,0.75,0.2167,0.0333,0.9611,0.8889,0.9161
kg__temperature_label,kg|temperature_label,"enslaved, kwg",,,temp0.0,,54,0.9815,0.0,0.0185,0.9815,0.9815,0.9815
kg__num_bridges,kg|num_bridges,"gmo, kwg",,,,2,54,1.0,0.0,0.0,1.0,1.0,1.0
kg__num_bridges,kg|num_bridges,"currkg, gmo",,,,2,54,0.8519,0.1481,0.0,1.0,0.9259,0.9506
kg__num_bridges,kg|num_bridges,"core_scholar_rich, currkg, kwg",,,,3,60,0.6,0.4,0.0,1.0,0.8556,0.91
kg__num_bridges,kg|num_bridges,"core_scholar_rich, enslaved",,,,2,54,0.9815,0.0185,0.0,0.9907,0.9907,0.9907
kg__num_bridges,kg|num_bridges,"core_scholar_rich, currkg, enslaved",,,,3,60,0.6167,0.3833,0.0,1.0,0.8722,0.9233
kg__num_bridges,kg|num_bridges,"currkg, enslaved",,,,2,54,0.9444,0.0556,0.0,0.9877,0.9907,0.9864
kg__num_bridges,kg|num_bridges,"core_scholar_rich, currkg, gmo",,,,3,60,0.65,0.3333,0.0167,0.9792,0.8611,0.9026
kg__num_bridges,kg|num_bridges,"core_scholar_rich, gmo",,,,2,54,0.9815,0.0185,0.0,1.0,0.9907,0.9938
kg__num_bridges,kg|num_bridges,"core_scholar_rich, currkg",,,,2,54,0.9259,0.0741,0.0,1.0,0.963,0.9753
kg__num_bridges,kg|num_bridges,"currkg, kwg",,,,2,54,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__num_bridges,kg|num_bridges,"core_scholar_rich, gmo, kwg",,,,3,60,0.7667,0.2333,0.0,1.0,0.9167,0.9483
kg__num_bridges,kg|num_bridges,"core_scholar_rich, enslaved, kwg",,,,3,60,0.75,0.2167,0.0333,0.9611,0.8889,0.9161
kg__num_bridges,kg|num_bridges,"enslaved, kwg",,,,2,54,0.9815,0.0,0.0185,0.9815,0.9815,0.9815
representation__prompt_type,representation|prompt_type,,axiom,0_shot,,,122,0.7213,0.2787,0.0,1.0,0.8907,0.9303
representation__prompt_type,representation|prompt_type,,ttl,0_shot,,,122,0.7049,0.2951,0.0,0.998,0.8948,0.9335
representation__prompt_type,representation|prompt_type,,nen,0_shot,,,122,0.6639,0.3115,0.0246,0.9658,0.8552,0.8945
representation__prompt_type,representation|prompt_type,,nen,cot,,,122,0.959,0.0328,0.0082,0.9891,0.9809,0.9831
representation__prompt_type,representation|prompt_type,,axiom,cot,,,122,0.9672,0.0328,0.0,1.0,0.985,0.9902
representation__prompt_type,representation|prompt_type,,ttl,cot,,,122,0.9426,0.0574,0.0,1.0,0.9768,0.9852
representation__temperature_label,representation|temperature_label,,axiom,,temp0.0,,244,0.8443,0.1557,0.0,1.0,0.9378,0.9602
representation__temperature_label,representation|temperature_label,,ttl,,temp0.0,,244,0.8238,0.1762,0.0,0.999,0.9358,0.9594
representation__temperature_label,representation|temperature_label,,nen,,temp0.0,,244,0.8115,0.1721,0.0164,0.9775,0.918,0.9388
representation__num_bridges,representation|num_bridges,,axiom,,,2,144,0.9375,0.0625,0.0,1.0,0.9688,0.9792
representation__num_bridges,representation|num_bridges,,ttl,,,2,144,0.9444,0.0556,0.0,1.0,0.9722,0.9815
representation__num_bridges,representation|num_bridges,,nen,,,3,100,0.67,0.3,0.03,0.9667,0.86,0.8997
representation__num_bridges,representation|num_bridges,,nen,,,2,144,0.9097,0.0833,0.0069,0.985,0.9583,0.966
representation__num_bridges,representation|num_bridges,,axiom,,,3,100,0.71,0.29,0.0,1.0,0.8933,0.933
representation__num_bridges,representation|num_bridges,,ttl,,,3,100,0.65,0.35,0.0,0.9975,0.8833,0.9276
prompt_type__temperature_label,prompt_type|temperature_label,,,0_shot,temp0.0,,366,0.6967,0.2951,0.0082,0.9879,0.8802,0.9195
prompt_type__temperature_label,prompt_type|temperature_label,,,cot,temp0.0,,366,0.9563,0.041,0.0027,0.9964,0.9809,0.9862
prompt_type__num_bridges,prompt_type|num_bridges,,,0_shot,,2,216,0.9028,0.0926,0.0046,0.9915,0.9514,0.9644
prompt_type__num_bridges,prompt_type|num_bridges,,,0_shot,,3,150,0.4,0.5867,0.0133,0.9828,0.7778,0.8548
prompt_type__num_bridges,prompt_type|num_bridges,,,cot,,2,216,0.9583,0.0417,0.0,0.9985,0.9815,0.9867
prompt_type__num_bridges,prompt_type|num_bridges,,,cot,,3,150,0.9533,0.04,0.0067,0.9933,0.98,0.9853
temperature_label__num_bridges,temperature_label|num_bridges,,,,temp0.0,2,432,0.9306,0.0671,0.0023,0.995,0.9664,0.9755
temperature_label__num_bridges,temperature_label|num_bridges,,,,temp0.0,3,300,0.6767,0.3133,0.01,0.9881,0.8789,0.9201
kg__representation__prompt_type,kg|representation|prompt_type,"gmo, kwg",axiom,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, gmo",ttl,0_shot,,,9,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, kwg",nen,0_shot,,,10,0.4,0.6,0.0,1.0,0.8,0.88
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved",nen,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, enslaved",nen,0_shot,,,10,0.3,0.7,0.0,1.0,0.7667,0.86
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, enslaved",axiom,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, enslaved",axiom,0_shot,,,10,0.3,0.7,0.0,1.0,0.7667,0.86
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, gmo",nen,cot,,,10,0.9,0.0,0.1,0.9,0.9,0.9
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, gmo",axiom,cot,,,9,0.8889,0.1111,0.0,1.0,0.9444,0.963
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, enslaved",nen,0_shot,,,9,0.8889,0.1111,0.0,0.963,1.0,0.9778
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo",ttl,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg",axiom,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, kwg",ttl,0_shot,,,9,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo",axiom,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo, kwg",axiom,0_shot,,,10,0.6,0.4,0.0,1.0,0.8333,0.89
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, gmo",axiom,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved, kwg",axiom,0_shot,,,10,0.7,0.3,0.0,1.0,0.9,0.94
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo, kwg",nen,0_shot,,,10,0.5,0.5,0.0,1.0,0.8333,0.9
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved",ttl,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved, kwg",nen,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, kwg",nen,cot,,,9,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation__prompt_type,kg|representation|prompt_type,"gmo, kwg",nen,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, gmo",nen,0_shot,,,10,0.3,0.7,0.0,1.0,0.7,0.8
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, enslaved",ttl,0_shot,,,10,0.2,0.8,0.0,1.0,0.7334,0.84
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo, kwg",axiom,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved, kwg",axiom,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo",ttl,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, gmo",ttl,cot,,,10,0.9,0.1,0.0,1.0,0.9667,0.98
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo",axiom,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved",axiom,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"gmo, kwg",nen,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved",axiom,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved",ttl,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, kwg",ttl,cot,,,10,0.8,0.2,0.0,1.0,0.9333,0.96
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, kwg",axiom,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, gmo",ttl,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"enslaved, kwg",nen,0_shot,,,9,0.8889,0.0,0.1111,0.8889,0.8889,0.8889
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg",nen,0_shot,,,9,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation__prompt_type,kg|representation|prompt_type,"enslaved, kwg",nen,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg",ttl,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg",ttl,0_shot,,,9,0.8889,0.1111,0.0,1.0,0.9444,0.963
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, kwg",axiom,0_shot,,,10,0.2,0.8,0.0,1.0,0.7,0.81
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, gmo",axiom,0_shot,,,10,0.4,0.6,0.0,1.0,0.7667,0.85
kg__representation__prompt_type,kg|representation|prompt_type,"gmo, kwg",ttl,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, gmo",nen,0_shot,,,9,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, gmo",ttl,0_shot,,,10,0.4,0.6,0.0,0.975,0.8333,0.8857
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, enslaved",nen,cot,,,9,0.8889,0.1111,0.0,0.963,1.0,0.9778
kg__representation__prompt_type,kg|representation|prompt_type,"enslaved, kwg",ttl,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, enslaved",axiom,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, enslaved",ttl,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo",nen,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, kwg",ttl,cot,,,9,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, enslaved",nen,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo, kwg",ttl,0_shot,,,10,0.6,0.4,0.0,1.0,0.8667,0.92
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo, kwg",ttl,cot,,,10,0.9,0.1,0.0,1.0,0.9667,0.98
kg__representation__prompt_type,kg|representation|prompt_type,"gmo, kwg",axiom,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, enslaved",ttl,cot,,,9,0.8889,0.1111,0.0,1.0,0.9444,0.963
kg__representation__prompt_type,kg|representation|prompt_type,"enslaved, kwg",axiom,0_shot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, enslaved",ttl,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, enslaved",axiom,cot,,,10,0.9,0.1,0.0,1.0,0.9667,0.98
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo",nen,0_shot,,,9,0.8889,0.1111,0.0,1.0,0.9444,0.963
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, kwg",axiom,0_shot,,,9,0.7778,0.2222,0.0,1.0,0.8889,0.9259
kg__representation__prompt_type,kg|representation|prompt_type,"currkg, gmo",nen,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved, kwg",ttl,0_shot,,,10,0.4,0.6,0.0,1.0,0.8,0.88
kg__representation__prompt_type,kg|representation|prompt_type,"enslaved, kwg",ttl,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg",axiom,0_shot,,,9,0.8889,0.1111,0.0,1.0,0.9444,0.963
kg__representation__prompt_type,kg|representation|prompt_type,"enslaved, kwg",axiom,cot,,,9,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, gmo, kwg",nen,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved, kwg",nen,0_shot,,,10,0.4,0.4,0.2,0.7667,0.6333,0.6767
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, currkg, kwg",ttl,0_shot,,,10,0.3,0.7,0.0,1.0,0.7333,0.83
kg__representation__prompt_type,kg|representation|prompt_type,"core_scholar_rich, enslaved, kwg",ttl,cot,,,10,1.0,0.0,0.0,1.0,1.0,1.0
